timestamp_s,x_m,y_m,z_m,yaw_rad,confidence
2.15,2.150,1.481,1.217,0.0019,0.891
2.20,2.200,1.496,1.216,-0.0000,0.888
2.25,2.250,1.490,1.216,-0.0019,0.885
2.30,2.300,1.512,1.215,-0.0039,0.882
2.35,2.350,1.485,1.214,-0.0058,0.880
2.40,2.400,1.487,1.214,-0.0077,0.877
2.45,2.450,1.459,1.213,-0.0095,0.874
2.50,2.500,1.465,1.212,-0.0114,0.871
2.55,2.550,1.443,1.211,-0.0133,0.868
2.60,2.600,1.458,1.210,-0.0151,0.866
2.65,2.650,1.428,1.209,-0.0170,0.863
2.70,2.700,1.422,1.209,-0.0188,0.860
2.75,2.750,1.369,1.208,-0.0205,0.857
2.80,2.800,1.383,1.207,-0.0223,0.855
2.85,2.850,1.322,1.206,-0.0240,0.852
2.90,2.900,1.319,1.205,-0.0257,0.850
2.95,2.950,1.278,1.204,-0.0274,0.847
3.00,3.000,1.253,1.203,-0.0290,0.845
3.05,3.050,1.231,1.202,-0.0306,0.843
3.10,3.100,1.217,1.201,-0.0321,0.840
3.15,3.150,1.165,1.200,-0.0336,0.838
3.20,3.200,1.132,1.199,-0.0351,0.836
3.25,3.250,1.093,1.198,-0.0365,0.834
3.30,3.300,1.042,1.197,-0.0379,0.832
3.35,3.350,1.004,1.196,-0.0392,0.830
3.40,3.400,0.991,1.195,-0.0405,0.828
3.45,3.450,0.947,1.194,-0.0417,0.827
3.50,3.500,0.914,1.193,-0.0429,0.825
3.55,3.550,0.847,1.192,-0.0440,0.824
3.60,3.600,0.793,1.191,-0.0451,0.822
3.65,3.650,0.755,1.190,-0.0461,0.821
3.70,3.700,0.732,1.189,-0.0470,0.819
3.75,3.750,0.668,1.189,-0.0479,0.818
3.80,3.800,0.616,1.188,-0.0487,0.817
3.85,3.850,0.584,1.187,-0.0495,0.816
3.90,3.900,0.535,1.186,-0.0502,0.815
3.95,3.950,0.458,1.186,-0.0508,0.814
4.00,4.000,0.412,1.185,-0.0514,0.814
4.05,4.050,0.370,1.184,-0.0519,0.813
4.10,4.100,0.303,1.184,-0.0523,0.812
4.15,4.150,0.264,1.183,-0.0527,0.812
4.20,4.200,0.221,1.183,-0.0530,0.811
4.25,4.250,0.147,1.182,-0.0532,0.811
4.30,4.300,0.117,1.182,-0.0534,0.811
4.35,4.350,0.038,1.181,-0.0535,0.810
4.40,4.400,-0.006,1.181,-0.0535,0.810
4.45,4.450,-0.072,1.181,-0.0535,0.810
4.50,4.500,-0.121,1.180,-0.0534,0.809
4.55,4.550,-0.179,1.180,-0.0532,0.809
4.60,4.600,-0.219,1.180,-0.0530,0.809
4.65,4.650,-0.252,1.180,-0.0527,0.809
4.70,4.700,-0.319,1.180,-0.0523,0.809
4.75,4.750,-0.363,1.180,-0.0518,0.809
4.80,4.800,-0.430,1.180,-0.0513,0.808
4.85,4.850,-0.488,1.180,-0.0508,0.808
4.90,4.900,-0.532,1.180,-0.0501,0.808
4.95,4.950,-0.580,1.181,-0.0494,0.808
5.00,5.000,-0.639,1.181,-0.0487,0.807
5.05,5.050,-0.670,1.181,-0.0478,0.807
5.10,5.100,-0.735,1.181,-0.0469,0.807
5.15,5.150,-0.748,1.182,-0.0460,0.807
5.20,5.200,-0.794,1.182,-0.0450,0.806
5.25,5.250,-0.842,1.183,-0.0439,0.806
5.30,5.300,-0.892,1.183,-0.0428,0.805
5.35,5.350,-0.953,1.184,-0.0416,0.805
5.40,5.400,-0.999,1.185,-0.0404,0.804
5.45,5.450,-1.033,1.185,-0.0391,0.803
5.50,5.500,-1.045,1.186,-0.0378,0.802
5.55,5.550,-1.086,1.187,-0.0364,0.801
5.60,5.600,-1.136,1.187,-0.0350,0.801
5.65,5.650,-1.188,1.188,-0.0335,0.799
5.70,5.700,-1.213,1.189,-0.0320,0.798
5.75,5.750,-1.218,1.190,-0.0305,0.797
5.80,5.800,-1.250,1.191,-0.0289,0.796
5.85,5.850,-1.302,1.192,-0.0273,0.794
5.90,5.900,-1.309,1.193,-0.0256,0.793
5.95,5.950,-1.325,1.193,-0.0239,0.791
6.00,6.000,-1.365,1.194,-0.0222,0.790
6.05,6.050,-1.403,1.195,-0.0204,0.788
6.10,6.100,-1.406,1.196,-0.0186,0.786
6.15,6.150,-1.442,1.197,-0.0168,0.784
6.20,6.200,-1.422,1.198,-0.0150,0.782
6.25,6.250,-1.438,1.199,-0.0132,0.780
6.30,6.300,-1.463,1.200,-0.0113,0.778
6.35,6.350,-1.495,1.201,-0.0094,0.776
6.40,6.400,-1.468,1.202,-0.0075,0.774
6.45,6.450,-1.488,1.203,-0.0056,0.771
6.50,6.500,-1.496,1.204,-0.0037,0.769
6.55,6.550,-1.507,1.205,-0.0018,0.766
6.60,6.600,-1.504,1.206,0.0001,0.764
6.65,6.650,-1.499,1.207,0.0020,0.761
6.70,6.700,-1.497,1.208,0.0039,0.758
6.75,6.750,-1.484,1.209,0.0058,0.756
6.80,6.800,-1.481,1.210,0.0077,0.753
6.85,6.850,-1.493,1.211,0.0096,0.750
6.90,6.900,-1.477,1.212,0.0115,0.747
6.95,6.950,-1.473,1.212,0.0134,0.745
7.00,7.000,-1.428,1.213,0.0152,0.742
7.05,7.050,-1.422,1.214,0.0170,0.739
7.10,7.100,-1.401,1.215,0.0188,0.736
7.15,7.150,-1.368,1.215,0.0206,0.733
7.20,7.200,-1.365,1.216,0.0224,0.731
7.25,7.250,-1.325,1.216,0.0241,0.728
7.30,7.300,-1.330,1.217,0.0258,0.725
7.35,7.350,-1.284,1.218,0.0274,0.722
7.40,7.400,-1.264,1.218,0.0291,0.719
7.45,7.450,-1.247,1.218,0.0306,0.717
7.50,7.500,-1.186,1.219,0.0322,0.714
7.55,7.550,-1.158,1.219,0.0337,0.712
7.60,7.600,-1.112,1.219,0.0352,0.709
7.65,7.650,-1.076,1.220,0.0366,0.707
7.70,7.700,-1.070,1.220,0.0379,0.704
7.75,7.750,-1.016,1.220,0.0393,0.702
7.80,7.800,-0.980,1.220,0.0405,0.699
7.85,7.850,-0.934,1.220,0.0418,0.697
7.90,7.900,-0.889,1.220,0.0429,0.695
7.95,7.950,-0.857,1.220,0.0440,0.693
8.00,8.000,-0.823,1.220,0.0451,0.691
8.05,8.050,-0.762,1.220,0.0461,0.689
8.10,8.100,-0.734,1.219,0.0470,0.687
8.15,8.150,-0.667,1.219,0.0479,0.686
8.20,8.200,-0.636,1.219,0.0487,0.684
8.25,8.250,-0.590,1.218,0.0495,0.683
8.30,8.300,-0.534,1.218,0.0502,0.681
8.35,8.350,-0.481,1.218,0.0508,0.680
8.40,8.400,-0.409,1.217,0.0514,0.678
8.45,8.450,-0.377,1.217,0.0519,0.677
8.50,8.500,-0.304,1.216,0.0523,0.676
8.55,8.550,-0.251,1.215,0.0527,0.675
8.60,8.600,-0.216,1.215,0.0530,0.674
8.65,8.650,-0.164,1.214,0.0532,0.673
8.70,8.700,-0.091,1.213,0.0534,0.673
8.75,8.750,-0.052,1.212,0.0535,0.672
8.80,8.800,-0.015,1.212,0.0535,0.671
8.85,8.850,0.076,1.211,0.0535,0.671
8.90,8.900,0.129,1.210,0.0534,0.670
8.95,8.950,0.180,1.209,0.0532,0.670
9.00,9.000,0.203,1.208,0.0530,0.669
9.05,9.050,0.273,1.207,0.0526,0.669
9.10,9.100,0.321,1.206,0.0523,0.669
9.15,9.150,0.359,1.205,0.0518,0.668
9.20,9.200,0.417,1.204,0.0513,0.668
9.25,9.250,0.493,1.203,0.0507,0.668
9.30,9.300,0.522,1.202,0.0501,0.668
9.35,9.350,0.572,1.201,0.0494,0.668
9.40,9.400,0.638,1.200,0.0486,0.667
9.45,9.450,0.674,1.199,0.0478,0.667
9.50,9.500,0.705,1.198,0.0469,0.667
9.55,9.550,0.779,1.198,0.0460,0.667
9.60,9.600,0.809,1.197,0.0450,0.667
9.65,9.650,0.861,1.196,0.0439,0.666
9.70,9.700,0.915,1.195,0.0428,0.666
9.75,9.750,0.948,1.194,0.0416,0.666
9.80,9.800,0.991,1.193,0.0404,0.666
9.85,9.850,1.027,1.192,0.0391,0.665
9.90,9.900,1.046,1.191,0.0378,0.665
9.95,9.950,1.095,1.190,0.0364,0.664
